---------------------------------------
Begin Slurm Prolog: Mar-10-2025 16:25:27
Job ID:    1952201
User ID:   ssahoo61
Account:   coc
Job name:  DDPGTraining
Partition: coc-cpu
QOS:       coc-ice
---------------------------------------
SPS: 648
SPS: 642
SPS: 637
SPS: 632
SPS: 627
SPS: 622
SPS: 618
SPS: 613
SPS: 609
SPS: 604
SPS: 600
SPS: 596
SPS: 592
SPS: 588
SPS: 584
SPS: 580
SPS: 577
SPS: 573
SPS: 569
SPS: 566
SPS: 562
SPS: 559
SPS: 556
SPS: 552
SPS: 549
SPS: 546
SPS: 543
SPS: 540
SPS: 537
SPS: 534
SPS: 531
SPS: 529
SPS: 526
SPS: 523
SPS: 521
SPS: 518
SPS: 515
SPS: 513
SPS: 510
SPS: 499
SPS: 497
SPS: 495
SPS: 493
SPS: 490
SPS: 488
SPS: 486
SPS: 484
SPS: 482
SPS: 480
SPS: 478
SPS: 476
SPS: 474
SPS: 472
SPS: 471
SPS: 469
SPS: 467
SPS: 465
SPS: 463
SPS: 462
SPS: 460
SPS: 458
SPS: 457
SPS: 455
SPS: 453
SPS: 452
SPS: 450
SPS: 449
SPS: 447
SPS: 446
SPS: 444
SPS: 443
SPS: 441
SPS: 440
SPS: 438
SPS: 437
SPS: 436
SPS: 434
SPS: 433
SPS: 432
SPS: 430
SPS: 429
SPS: 428
SPS: 427
SPS: 425
SPS: 424
SPS: 423
SPS: 422
SPS: 420
SPS: 419
SPS: 418
SPS: 417
SPS: 416
SPS: 415
SPS: 414
SPS: 412
SPS: 411
SPS: 406
SPS: 405
SPS: 404
SPS: 403
SPS: 402
SPS: 401
SPS: 400
SPS: 399
SPS: 398
SPS: 397
SPS: 396
SPS: 395
SPS: 394
SPS: 393
SPS: 393
SPS: 392
SPS: 391
SPS: 390
SPS: 389
SPS: 388
SPS: 387
SPS: 387
SPS: 386
SPS: 385
SPS: 384
SPS: 383
SPS: 382
SPS: 382
SPS: 381
SPS: 380
SPS: 379
SPS: 379
SPS: 378
SPS: 377
SPS: 376
SPS: 376
SPS: 375
SPS: 374
SPS: 373
SPS: 373
SPS: 372
SPS: 371
SPS: 370
SPS: 370
SPS: 369
SPS: 368
SPS: 368
SPS: 367
SPS: 366
SPS: 366
SPS: 365
SPS: 365
SPS: 364
SPS: 363
SPS: 363
SPS: 362
SPS: 361
SPS: 361
SPS: 360
SPS: 360
SPS: 359
SPS: 358
SPS: 358
SPS: 357
SPS: 357
SPS: 356
SPS: 356
SPS: 355
SPS: 354
SPS: 354
SPS: 353
SPS: 353
SPS: 352
SPS: 352
SPS: 351
SPS: 351
SPS: 350
SPS: 349
SPS: 349
SPS: 348
SPS: 348
SPS: 347
SPS: 347
SPS: 346
SPS: 346
SPS: 345
SPS: 345
SPS: 345
SPS: 344
SPS: 344
SPS: 343
SPS: 343
SPS: 342
SPS: 342
SPS: 341
SPS: 341
SPS: 340
SPS: 340
SPS: 339
SPS: 339
SPS: 339
SPS: 338
SPS: 338
SPS: 337
SPS: 337
SPS: 336
SPS: 336
SPS: 336
SPS: 335
SPS: 333
SPS: 333
SPS: 332
SPS: 332
SPS: 331
SPS: 331
SPS: 331
SPS: 330
SPS: 330
SPS: 330
SPS: 329
SPS: 329
SPS: 328
SPS: 328
SPS: 328
SPS: 327
SPS: 327
SPS: 327
SPS: 326
SPS: 326
SPS: 326
SPS: 325
SPS: 325
SPS: 324
SPS: 324
SPS: 324
SPS: 323
SPS: 323
SPS: 323
SPS: 322
SPS: 322
SPS: 322
SPS: 321
SPS: 321
SPS: 321
SPS: 320
SPS: 320
SPS: 320
SPS: 319
SPS: 319
SPS: 319
SPS: 319
SPS: 318
SPS: 318
SPS: 318
SPS: 317
SPS: 317
SPS: 317
SPS: 316
SPS: 316
SPS: 316
SPS: 315
SPS: 315
SPS: 315
SPS: 315
SPS: 314
SPS: 314
SPS: 314
SPS: 313
SPS: 313
SPS: 313
SPS: 312
SPS: 312
SPS: 312
SPS: 312
SPS: 311
SPS: 311
SPS: 311
SPS: 311
SPS: 310
SPS: 310
SPS: 310
SPS: 309
SPS: 309
SPS: 309
SPS: 309
SPS: 308
SPS: 308
SPS: 308
SPS: 308
SPS: 307
SPS: 307
SPS: 307
SPS: 307
SPS: 306
SPS: 306
SPS: 306
SPS: 306
SPS: 305
SPS: 305
SPS: 305
SPS: 305
SPS: 304
SPS: 304
SPS: 304
SPS: 304
SPS: 303
SPS: 303
SPS: 303
SPS: 303
SPS: 302
SPS: 302
SPS: 302
SPS: 302
SPS: 302
SPS: 301
SPS: 301
SPS: 301
SPS: 301
SPS: 300
SPS: 300
SPS: 300
SPS: 300
SPS: 300
SPS: 299
SPS: 299
SPS: 299
SPS: 299
SPS: 298
SPS: 298
SPS: 298
SPS: 298
SPS: 298
SPS: 297
SPS: 297
SPS: 297
SPS: 296
SPS: 296
SPS: 296
SPS: 295
SPS: 295
SPS: 295
SPS: 295
SPS: 295
SPS: 294
SPS: 294
SPS: 294
SPS: 294
SPS: 294
SPS: 294
SPS: 293
SPS: 293
SPS: 293
SPS: 293
SPS: 293
SPS: 292
SPS: 292
SPS: 292
SPS: 292
SPS: 292
SPS: 291
SPS: 291
SPS: 291
SPS: 291
SPS: 291
SPS: 291
SPS: 290
SPS: 290
SPS: 290
SPS: 290
SPS: 290
SPS: 289
SPS: 289
SPS: 289
SPS: 289
SPS: 289
SPS: 289
SPS: 288
SPS: 288
SPS: 288
SPS: 288
SPS: 288
SPS: 288
SPS: 287
SPS: 287
SPS: 287
SPS: 287
SPS: 287
SPS: 287
SPS: 286
SPS: 286
SPS: 286
SPS: 286
SPS: 286
SPS: 286
SPS: 285
SPS: 285
SPS: 285
SPS: 285
SPS: 285
SPS: 285
SPS: 285
SPS: 284
SPS: 284
SPS: 284
SPS: 284
SPS: 284
SPS: 284
SPS: 283
SPS: 283
SPS: 283
SPS: 283
SPS: 283
SPS: 283
SPS: 283
SPS: 282
SPS: 282
SPS: 282
SPS: 282
SPS: 282
SPS: 282
SPS: 282
SPS: 281
SPS: 281
SPS: 281
SPS: 281
SPS: 281
SPS: 281
SPS: 281
SPS: 280
SPS: 280
SPS: 280
SPS: 280
SPS: 280
SPS: 280
SPS: 280
SPS: 279
SPS: 279
SPS: 279
SPS: 279
SPS: 279
SPS: 279
SPS: 279
SPS: 279
SPS: 278
SPS: 278
SPS: 278
SPS: 278
SPS: 278
SPS: 278
SPS: 278
SPS: 277
SPS: 277
SPS: 277
SPS: 277
SPS: 277
SPS: 277
SPS: 277
SPS: 277
SPS: 276
SPS: 276
SPS: 276
SPS: 276
SPS: 276
SPS: 276
SPS: 275
SPS: 275
SPS: 275
SPS: 275
SPS: 275
SPS: 275
SPS: 274
SPS: 274
SPS: 274
SPS: 274
SPS: 274
SPS: 274
SPS: 274
SPS: 274
SPS: 274
SPS: 273
SPS: 273
SPS: 273
SPS: 273
SPS: 273
SPS: 273
SPS: 273
SPS: 273
SPS: 272
SPS: 272
SPS: 272
SPS: 272
SPS: 272
SPS: 272
SPS: 272
SPS: 272
SPS: 272
SPS: 272
SPS: 271
SPS: 271
SPS: 271
SPS: 271
SPS: 271
SPS: 271
SPS: 271
SPS: 271
SPS: 270
SPS: 270
SPS: 270
SPS: 270
SPS: 270
SPS: 270
SPS: 270
SPS: 270
SPS: 270
SPS: 270
SPS: 269
SPS: 269
SPS: 269
SPS: 269
SPS: 269
SPS: 269
SPS: 269
SPS: 269
SPS: 269
SPS: 269
SPS: 268
SPS: 268
SPS: 268
SPS: 268
SPS: 268
SPS: 268
SPS: 268
SPS: 268
SPS: 268
SPS: 268
SPS: 267
SPS: 267
SPS: 267
SPS: 267
SPS: 267
SPS: 267
SPS: 267
SPS: 267
SPS: 267
SPS: 267
SPS: 267
SPS: 266
SPS: 266
SPS: 266
SPS: 266
SPS: 266
SPS: 266
SPS: 266
SPS: 266
SPS: 266
SPS: 266
SPS: 265
SPS: 265
SPS: 265
SPS: 265
SPS: 265
SPS: 265
SPS: 265
SPS: 265
SPS: 265
SPS: 265
SPS: 265
SPS: 265
SPS: 264
SPS: 264
SPS: 264
SPS: 264
SPS: 264
SPS: 264
SPS: 264
SPS: 264
SPS: 264
SPS: 264
SPS: 264
SPS: 264
SPS: 263
SPS: 263
SPS: 263
SPS: 263
SPS: 263
SPS: 263
SPS: 263
SPS: 263
SPS: 263
SPS: 263
SPS: 263
SPS: 263
SPS: 263
SPS: 262
SPS: 262
SPS: 262
SPS: 262
SPS: 262
SPS: 262
SPS: 262
SPS: 262
SPS: 262
SPS: 262
SPS: 262
SPS: 262
SPS: 261
SPS: 261
SPS: 261
SPS: 261
SPS: 261
SPS: 261
SPS: 261
SPS: 261
SPS: 261
SPS: 261
SPS: 261
SPS: 261
SPS: 260
SPS: 260
SPS: 260
SPS: 260
SPS: 260
SPS: 260
SPS: 260
SPS: 260
SPS: 260
SPS: 260
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 259
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 258
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 257
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 256
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 255
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 254
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 253
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 252
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 251
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 250
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
SPS: 249
