---------------------------------------
Begin Slurm Prolog: Mar-12-2025 10:24:04
Job ID:    2072822
User ID:   ssahoo61
Account:   coc
Job name:  GPUECNTraining
Partition: coc-gpu
QOS:       coc-ice
---------------------------------------

CondaError: Run 'conda init' before 'conda deactivate'

/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/gymnasium/wrappers/rendering.py:283: UserWarning: [33mWARN: Overwriting existing videos at /home/hice1/ssahoo61/Documents/exploration-critique-networks/runs/Hopper-v5__ddpg_ecn__1__1741789454/videos folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/torch/utils/_device.py:104: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:254.)
  return func(*args, **kwargs)
/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/torch/utils/_device.py:104: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  return func(*args, **kwargs)
/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/torch/utils/_device.py:104: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  return func(*args, **kwargs)
global_step=15, episodic_return=12.146758209456094
global_step=28, episodic_return=7.034066958640042
global_step=42, episodic_return=9.956684021446966
global_step=61, episodic_return=9.837494646319723
global_step=75, episodic_return=8.33218929742679
global_step=93, episodic_return=8.68710582517805
global_step=113, episodic_return=15.005421256766262
global_step=138, episodic_return=19.24581079463464
global_step=238, episodic_return=96.50525537949856
global_step=280, episodic_return=60.907569825247
global_step=295, episodic_return=11.035573737704665
global_step=308, episodic_return=8.824653919515406
global_step=332, episodic_return=18.70934699640915
global_step=347, episodic_return=10.21309511785937
global_step=367, episodic_return=11.736097516460752
global_step=419, episodic_return=38.02808566433073
global_step=435, episodic_return=10.782432460740525
global_step=444, episodic_return=3.987065426764368
global_step=460, episodic_return=9.804550053199756
global_step=494, episodic_return=20.807429611969027
global_step=513, episodic_return=6.920116304425422
global_step=545, episodic_return=16.046031538265044
global_step=585, episodic_return=32.596811753682125
global_step=612, episodic_return=24.709591210267412
global_step=634, episodic_return=15.480218268524293
global_step=645, episodic_return=5.985662934859173
global_step=683, episodic_return=24.96126275837116
global_step=706, episodic_return=14.226744075254322
global_step=728, episodic_return=9.970487049866025
global_step=740, episodic_return=8.617201097386374
global_step=751, episodic_return=8.456696654276639
global_step=771, episodic_return=16.930766192607955
global_step=787, episodic_return=12.507672030461752
global_step=805, episodic_return=6.504395784138715
global_step=841, episodic_return=27.010073990137393
global_step=859, episodic_return=14.493483574212522
global_step=912, episodic_return=71.61173619644325
global_step=932, episodic_return=10.0052703731356
global_step=945, episodic_return=10.715235027395275
global_step=961, episodic_return=6.2656211220483575
global_step=971, episodic_return=7.3522280498649355
global_step=994, episodic_return=22.65435114387675
global_step=1028, episodic_return=8.081507731700501
global_step=1040, episodic_return=6.211998230439825
global_step=1052, episodic_return=5.192976045056504
global_step=1080, episodic_return=10.32955476502402
global_step=1124, episodic_return=24.60289303771142
global_step=1136, episodic_return=6.288656815962991
global_step=1156, episodic_return=13.431494934516456
global_step=1176, episodic_return=10.087653469762627
global_step=1197, episodic_return=13.288735483131646
global_step=1228, episodic_return=16.277452642405144
global_step=1257, episodic_return=34.35415875547949
global_step=1336, episodic_return=116.5890762165946
global_step=1355, episodic_return=17.91891325095436
global_step=1382, episodic_return=16.043745281008942
global_step=1397, episodic_return=6.857050429516976
global_step=1416, episodic_return=16.961071286077797
global_step=1429, episodic_return=8.85192578702457
global_step=1447, episodic_return=11.383033243419236
global_step=1492, episodic_return=53.16312496489991
global_step=1513, episodic_return=17.723597262630467
global_step=1536, episodic_return=19.932294928315553
global_step=1593, episodic_return=54.12196013716172
global_step=1606, episodic_return=8.05697923628787
global_step=1622, episodic_return=13.13519322336871
global_step=1667, episodic_return=32.39843199694832
global_step=1689, episodic_return=12.092396540666764
global_step=1707, episodic_return=16.86625363536171
global_step=1724, episodic_return=14.229736965007895
global_step=1745, episodic_return=21.083173776631497
global_step=1763, episodic_return=12.838844032809803
global_step=1782, episodic_return=12.750783470129596
global_step=1792, episodic_return=5.518294667981067
global_step=1810, episodic_return=7.451088899227057
global_step=1834, episodic_return=7.937917569894273
global_step=1852, episodic_return=7.026769286578953
global_step=1866, episodic_return=11.916364589374282
global_step=1878, episodic_return=11.06883317528244
global_step=1889, episodic_return=5.856921669011052
global_step=1906, episodic_return=10.369274297480123
global_step=1923, episodic_return=16.132807259735994
global_step=1943, episodic_return=11.85487230910501
global_step=1976, episodic_return=31.323805809981277
global_step=1998, episodic_return=11.895152403519413
global_step=2024, episodic_return=15.322262833822592
global_step=2037, episodic_return=8.839036834932797
global_step=2052, episodic_return=12.026974451117768
global_step=2164, episodic_return=97.82336803986416
global_step=2180, episodic_return=10.097703777045508
global_step=2191, episodic_return=7.533975010166538
global_step=2212, episodic_return=15.962249891347884
global_step=2226, episodic_return=10.952745348767419
global_step=2247, episodic_return=14.067663360936743
global_step=2265, episodic_return=10.785718668629604
global_step=2280, episodic_return=12.4492750807503
global_step=2310, episodic_return=17.577667777692266
global_step=2337, episodic_return=9.89126363384981
global_step=2378, episodic_return=58.67735222808809
global_step=2390, episodic_return=7.194937139289474
global_step=2408, episodic_return=13.849444619304611
global_step=2437, episodic_return=21.216197407910364
global_step=2463, episodic_return=17.536750906297335
global_step=2481, episodic_return=9.265632311727598
global_step=2542, episodic_return=57.28757188864797
global_step=2558, episodic_return=12.896453919941642
global_step=2585, episodic_return=13.340220211251774
global_step=2598, episodic_return=10.940996224274445
global_step=2615, episodic_return=10.872893636986799
global_step=2636, episodic_return=11.10517536038376
global_step=2653, episodic_return=13.531190923954622
global_step=2677, episodic_return=22.48012480454714
global_step=2695, episodic_return=17.663799034792472
global_step=2706, episodic_return=6.302536866101403
global_step=2719, episodic_return=5.566961710541143
global_step=2735, episodic_return=6.5409997719687105
global_step=2748, episodic_return=3.437277059508844
global_step=2763, episodic_return=8.352476539505448
global_step=2779, episodic_return=8.098325481577813
global_step=2790, episodic_return=7.217850700369764
global_step=2816, episodic_return=33.41038762599252
global_step=2862, episodic_return=37.72197838573685
global_step=2881, episodic_return=8.820873581509694
global_step=2917, episodic_return=42.83185943549506
global_step=2956, episodic_return=16.35115045259862
global_step=2981, episodic_return=27.053718294979376
global_step=2993, episodic_return=9.522838283036254
global_step=3044, episodic_return=43.054872032062434
global_step=3060, episodic_return=8.521714596058525
global_step=3089, episodic_return=26.183635850179158
global_step=3103, episodic_return=5.715391141453553
global_step=3120, episodic_return=13.434058677425577
global_step=3131, episodic_return=8.633878308737206
global_step=3147, episodic_return=10.594681764477711
global_step=3168, episodic_return=17.0270194242814
global_step=3189, episodic_return=15.44064005800237
global_step=3209, episodic_return=16.759838423698934
global_step=3225, episodic_return=9.843850212268286
global_step=3249, episodic_return=14.083825918513696
global_step=3308, episodic_return=45.06899614939471
global_step=3323, episodic_return=8.66290272238444
global_step=3354, episodic_return=18.716609506489092
global_step=3370, episodic_return=9.458408195416906
global_step=3394, episodic_return=23.163199999330878
global_step=3428, episodic_return=8.561305967568451
global_step=3473, episodic_return=69.88725004871407
global_step=3486, episodic_return=9.778996751230622
global_step=3514, episodic_return=25.61364133472761
global_step=3535, episodic_return=7.8649546990816255
global_step=3562, episodic_return=29.27050512176351
global_step=3582, episodic_return=8.058377436727248
global_step=3603, episodic_return=21.676272115120938
global_step=3671, episodic_return=114.82405595585094
global_step=3688, episodic_return=10.629285798330061
global_step=3701, episodic_return=5.647897854548879
global_step=3711, episodic_return=5.678707110649226
global_step=3727, episodic_return=12.23840562765259
global_step=3751, episodic_return=18.99369411423697
global_step=3777, episodic_return=14.96578976331903
global_step=3788, episodic_return=5.972948897258115
